MySQL Parameter,PostgreSQL Parameter,Similarity
max-binlog-cache-size=#,wal_buffers,0.8644738
key-buffer-size=#,logical_decoding_work_mem,0.8644088
innodb-thread-concurrency=#,max_standby_archive_delay,0.8640984
innodb-buffer-pool-size=#,temp_buffers,0.8635503
innodb-buffer-pool-size=#,maintenance_work_mem,0.86328375
read-buffer-size=#,work_mem,0.8630506
join-buffer-size=#,wal_block_size,0.8630297
innodb-thread-concurrency=#,autovacuum_vacuum_threshold,0.862915
bulk-insert-buffer-size=#,jit_optimize_above_cost,0.86253893
binlog-cache-size=#,jit_above_cost,0.8623778
join-buffer-size=#,temp_file_limit,0.8622042
innodb-log-buffer-size=#,logical_decoding_work_mem,0.86213243
innodb-file-per-table,wal_skip_threshold,0.86183226
innodb-file-per-table,archive_command,0.86180466
innodb-buffer-pool-size=#,shared_memory_type,0.8617649
max-allowed-packet=#,listen_addresses,0.8613018
innodb-io-capacity=#,wal_keep_size,0.8609736
innodb-thread-concurrency=#,temp_file_limit,0.8608818
innodb-thread-concurrency=#,session_replication_role,0.8608738
innodb-log-buffer-size=#,wal_receiver_timeout,0.86067224
innodb-thread-concurrency=#,ssl_passphrase_command_supports_reload,0.8602921
max-binlog-cache-size=#,max_pred_locks_per_transaction,0.8601041
bulk-insert-buffer-size=#,wal_block_size,0.8600994
max-allowed-packet=#,client_min_messages,0.8600235
sort-buffer-size=#,work_mem,0.8599045
tmp-table-size=#,shared_memory_type,0.8598188
innodb-file-per-table,restore_command,0.8597102
innodb-log-buffer-size=#,wal_sync_method,0.85952437
innodb-thread-concurrency=#,autovacuum_freeze_max_age,0.8591194
tmp-table-size=#,effective_io_concurrency,0.8591149
max-binlog-cache-size=#,logical_decoding_work_mem,0.85909784
innodb-file-per-table,track_activity_query_size,0.8590616
innodb-buffer-pool-size=#,autovacuum_work_mem,0.8590155
bulk-insert-buffer-size=#,jit_inline_above_cost,0.85896623
key-buffer-size=#,max_slot_wal_keep_size,0.858863
innodb-thread-concurrency=#,wal_keep_size,0.8582951
binlog-cache-size=#,work_mem,0.85825723
max-allowed-packet=#,primary_slot_name,0.8581717
replica-max-allowed-packet=#,shared_buffers,0.85776556
innodb-log-file-size=#,remove_temp_files_after_crash,0.8577328
table-open-cache=#,work_mem,0.8576002
innodb-log-buffer-size=#,log_parser_stats,0.85756314
innodb-file-per-table,autovacuum_multixact_freeze_max_age,0.8574696
replica-max-allowed-packet=#,wal_receiver_status_interval,0.85744274
tmp-table-size=#,shared_buffers,0.857352
innodb-buffer-pool-size=#,temp_file_limit,0.8571711
innodb-log-buffer-size=#,effective_io_concurrency,0.85714364
innodb-io-capacity=#,log_hostname,0.85699856
innodb-log-buffer-size=#,autovacuum_work_mem,0.85671043
replica-max-allowed-packet=#,client_min_messages,0.8565577
innodb-thread-concurrency=#,debug_assertions,0.85648
innodb-thread-concurrency=#,recovery_init_sync_method,0.85632414
innodb-file-per-table,syslog_sequence_numbers,0.8561139
key-buffer-size=#,temp_tablespaces,0.8560854
max-binlog-cache-size=#,default_transaction_isolation,0.8559052
join-buffer-size=#,wal_buffers,0.8554875
max-allowed-packet=#,wal_receiver_status_interval,0.8553034
binlog-cache-size=#,log_min_duration_sample,0.8552459
innodb-log-file-size=#,wal_skip_threshold,0.8552327
bulk-insert-buffer-size=#,wal_segment_size,0.8552052
binlog-cache-size=#,wal_block_size,0.8550819
binlog-cache-size=#,data_checksums,0.85507375
innodb-thread-concurrency=#,autovacuum_multixact_freeze_max_age,0.85501325
innodb-log-buffer-size=#,logging_collector,0.8550088
innodb-thread-concurrency=#,wal_sync_method,0.85454375
innodb-log-buffer-size=#,backend_flush_after,0.8544576
innodb-log-buffer-size=#,bgwriter_flush_after,0.8544576
innodb-log-buffer-size=#,checkpoint_flush_after,0.8544576
binlog-cache-size=#,autovacuum_analyze_scale_factor,0.854349
innodb-adaptive-hash-index-parts[=#],default_tablespace,0.8541852
innodb-adaptive-hash-index-parts[=#],default_table_access_method,0.85414803
key-buffer-size=#,autovacuum_work_mem,0.85406756
innodb-log-buffer-size=#,log_executor_stats,0.85378486
innodb-file-per-table,allow_in_place_tablespaces,0.85372835
replica-max-allowed-packet=#,primary_slot_name,0.85360223
bulk-insert-buffer-size=#,jit_above_cost,0.8535659
innodb-thread-concurrency=#,remove_temp_files_after_crash,0.8530524
innodb-file-per-table,ssl_passphrase_command_supports_reload,0.8528912
innodb-log-buffer-size=#,segment_size,0.8528813
binlog-cache-size=#,geqo_effort,0.8526509
innodb-thread-concurrency=#,autovacuum_work_mem,0.85259616
binlog-cache-size=#,log_parser_stats,0.8523685
max-binlog-cache-size=#,temp_buffers,0.85212475
max-binlog-cache-size=#,max_wal_senders,0.8520634
sort-buffer-size=#,shared_buffers,0.85204655
innodb-log-buffer-size=#,temp_tablespaces,0.852006
innodb-log-buffer-size=#,archive_command,0.85175467
innodb-file-per-table,default_table_access_method,0.8517271
innodb-file-per-table,promote_trigger_file,0.8515934
join-buffer-size=#,wal_segment_size,0.85154486
innodb-io-capacity=#,log_autovacuum_min_duration,0.8511224
join-buffer-size=#,logical_decoding_work_mem,0.8511205
innodb-thread-concurrency=#,default_table_access_method,0.8506613
innodb-file-per-table,default_tablespace,0.8505026
binlog-cache-size=#,logging_collector,0.850376
slave-max-allowed-packet=#,track_activity_query_size,0.85024637
innodb-thread-concurrency=#,maintenance_io_concurrency,0.85001177
innodb-log-buffer-size=#,max_wal_senders,0.8499081
binlog-cache-size=#,wal_segment_size,0.84978557
replica-max-allowed-packet=#,max_standby_streaming_delay,0.8497447
innodb-old-blocks-time=#,autovacuum_vacuum_threshold,0.849705
key-buffer-size=#,syslog_split_messages,0.8496958
bulk-insert-buffer-size=#,work_mem,0.849676
innodb-log-buffer-size=#,client_min_messages,0.8496029
key-buffer-size=#,wal_block_size,0.84953713
read-buffer-size=#,autovacuum_work_mem,0.84952986
innodb-log-buffer-size=#,restore_command,0.8493434
table-open-cache=#,default_table_access_method,0.8493285
max-binlog-cache-size=#,max_connections,0.8491955
read-buffer-size=#,logical_decoding_work_mem,0.84909034
innodb-thread-concurrency=#,wal_init_zero,0.8490585
max-binlog-cache-size=#,max_parallel_workers_per_gather,0.84897697
tmp-table-size=#,logging_collector,0.8489649
innodb-io-capacity-max=#,log_statement_sample_rate,0.8488207
innodb-thread-concurrency=#,transaction_deferrable,0.8487836
innodb-thread-concurrency=#,idle_session_timeout,0.8487344
innodb-adaptive-hash-index-parts[=#],server_encoding,0.84854805
tmp-table-size=#,work_mem,0.8484787
binlog-cache-size=#,effective_io_concurrency,0.8484753
tmp-table-size=#,transaction_deferrable,0.84818244
innodb-adaptive-hash-index-parts[=#],autovacuum_vacuum_threshold,0.84807587
mysqlx-max-allowed-packet[=#],log_min_messages,0.8479637
innodb-log-buffer-size=#,log_hostname,0.847775
tmp-table-size=#,promote_trigger_file,0.84754837
innodb-log-buffer-size=#,recovery_init_sync_method,0.84751445
read-buffer-size=#,temp_file_limit,0.8474279
read-buffer-size=#,shared_memory_type,0.8473263
binlog-cache-size=#,temp_tablespaces,0.84708184
slave-max-allowed-packet=#,maintenance_io_concurrency,0.8469937
table-open-cache=#,max_files_per_process,0.8469933
join-buffer-size=#,max_files_per_process,0.84693885
read-buffer-size=#,max_files_per_process,0.8469237
innodb-thread-concurrency=#,log_parameter_max_length,0.8468397
tmp-table-size=#,restore_command,0.8468008
binlog-cache-size=#,default_tablespace,0.846763
innodb-write-io-threads=#,log_parser_stats,0.84631836
innodb-io-capacity=#,autovacuum_vacuum_threshold,0.84628755
key-buffer-size=#,log_parameter_max_length,0.8460775
max-binlog-cache-size=#,wal_receiver_timeout,0.8459117
innodb-thread-concurrency=#,log_parameter_max_length_on_error,0.84591013
mysqlx-max-connections[=#],max_wal_senders,0.8458766
key-buffer-size=#,syslog_sequence_numbers,0.84586924
innodb-file-per-table,autovacuum_freeze_max_age,0.8458184
read-rnd-buffer-size=#,wal_buffers,0.84561145
innodb-log-buffer-size=#,log_destination,0.8454727
innodb-log-buffer-size=#,wal_block_size,0.8452794
innodb-thread-concurrency=#,default_transaction_deferrable,0.84495234
innodb-thread-concurrency=#,max_wal_senders,0.8449489
innodb-file-per-table,logging_collector,0.84471786
innodb-log-buffer-size=#,max_slot_wal_keep_size,0.8446476
innodb-buffer-pool-size=#,wal_receiver_timeout,0.844619
innodb-log-file-size=#,syslog_facility,0.84457165
innodb-online-alter-log-max-size=#,log_file_mode,0.844422
innodb-sort-buffer-size=#,vacuum_cost_page_hit,0.84438705
innodb-sort-buffer-size=#,vacuum_cost_page_hit,0.84438705
key-buffer-size=#,wal_skip_threshold,0.8442267
innodb-io-capacity=#,port,0.8441324
innodb-thread-concurrency=#,enable_partition_pruning,0.8440359
myisam-sort-buffer-size=#,temp_tablespaces,0.84398687
key-buffer-size=#,log_temp_files,0.8439052
innodb-io-capacity=#,log_executor_stats,0.84388816
table-open-cache-instances=#,shared_buffers,0.84379077
table-open-cache=#,temp_buffers,0.8436612
key-buffer-size=#,wal_keep_size,0.8435316
innodb-io-capacity=#,max_files_per_process,0.84344316
max-connections=#,max_prepared_transactions,0.84343266
innodb-log-buffer-size=#,shared_memory_type,0.84338534
tmp-table-size=#,event_source,0.8433753
myisam-sort-buffer-size=#,default_tablespace,0.84337
innodb-thread-concurrency=#,effective_io_concurrency,0.8433666
innodb-adaptive-hash-index-parts[=#],temp_buffers,0.84335023
binlog-cache-size=#,event_source,0.8433436
innodb-io-capacity=#,hot_standby_feedback,0.8433052
innodb-io-capacity=#,syslog_facility,0.8431642
innodb-adaptive-hash-index-parts[=#],min_dynamic_shared_memory,0.8431418
key-buffer-size=#,default_tablespace,0.84310913
innodb-buffer-pool-size=#,dynamic_shared_memory_type,0.843071
table-open-cache=#,shared_buffers,0.84304845
innodb-old-blocks-time=#,log_parameter_max_length_on_error,0.8429364
innodb-thread-concurrency=#,idle_in_transaction_session_timeout,0.84291184
innodb-file-per-table,temp_tablespaces,0.84284675
replica-max-allowed-packet=#,max_standby_archive_delay,0.8427305
max-binlog-cache-size=#,transaction_isolation,0.8425729
innodb-log-buffer-size=#,maintenance_work_mem,0.8425343
join-buffer-size=#,max_wal_senders,0.8425241
innodb-adaptive-hash-index-parts[=#],max_files_per_process,0.8424629
innodb-thread-concurrency=#,work_mem,0.842424
innodb-log-buffer-size=#,recovery_target_lsn,0.8423558
innodb-log-buffer-size=#,log_file_mode,0.84232616
innodb-thread-concurrency=#,wal_log_hints,0.8423004
innodb-log-file-size=#,min_dynamic_shared_memory,0.84226173
innodb-log-buffer-size=#,data_directory_mode,0.84224063
read-buffer-size=#,max_wal_senders,0.84222424
innodb-thread-concurrency=#,superuser_reserved_connections,0.84219676
bulk-insert-buffer-size=#,data_checksums,0.8421823
sort-buffer-size=#,wal_buffers,0.84215075
innodb-buffer-pool-size=#,temp_tablespaces,0.8420956
innodb-adaptive-hash-index-parts[=#],wal_buffers,0.8420458
join-buffer-size=#,wal_receiver_timeout,0.84204197
innodb-thread-concurrency=#,allow_in_place_tablespaces,0.8419796
sort-buffer-size=#,event_source,0.841951
join-buffer-size=#,data_directory_mode,0.84189343
innodb-log-file-size=#,autovacuum_vacuum_threshold,0.8418813
innodb-thread-concurrency=#,archive_timeout,0.84188104
table-open-cache=#,default_tablespace,0.8417037
innodb-log-buffer-size=#,dynamic_shared_memory_type,0.8413216
max-allowed-packet=#,client_encoding,0.8411695
max-binlog-cache-size=#,max_files_per_process,0.8411499
max-allowed-packet=#,max_standby_streaming_delay,0.84112614
key-buffer-size=#,shared_buffers,0.84111977
join-buffer-size=#,primary_slot_name,0.84105134
table-open-cache=#,data_checksums,0.8410297
innodb-old-blocks-time=#,recovery_target_lsn,0.84096134
innodb-thread-concurrency=#,autovacuum_max_workers,0.8409507
innodb-io-capacity=#,default_transaction_read_only,0.84093
innodb-thread-concurrency=#,jit_above_cost,0.84089756
innodb-adaptive-hash-index-parts[=#],work_mem,0.8408967
bulk-insert-buffer-size=#,autovacuum_multixact_freeze_max_age,0.84088373
innodb-io-capacity=#,wal_receiver_status_interval,0.8408831
tmp-table-size=#,archive_command,0.84071076
innodb-buffer-pool-size=#,wal_keep_size,0.8406913
join-buffer-size=#,block_size,0.8405021
key-buffer-size=#,logging_collector,0.84045845
innodb-adaptive-hash-index-parts[=#],wal_skip_threshold,0.8404101
max-connections=#,max_logical_replication_workers,0.840368
innodb-io-capacity=#,log_destination,0.8403367
innodb-online-alter-log-max-size=#,wal_keep_size,0.8402235
bulk-insert-buffer-size=#,log_parameter_max_length_on_error,0.84013736
binlog-cache-size=#,log_parameter_max_length,0.84011364
innodb-io-capacity=#,max_standby_streaming_delay,0.8401066
innodb-thread-concurrency=#,ignore_invalid_pages,0.84008396
innodb-thread-concurrency=#,wal_receiver_create_temp_slot,0.8400425
max-binlog-cache-size=#,max_replication_slots,0.8399921
innodb-adaptive-hash-index-parts[=#],max_slot_wal_keep_size,0.8399497
sort-buffer-size=#,archive_command,0.83988655
innodb-buffer-pool-size=#,event_source,0.83981365
innodb-thread-concurrency=#,update_process_title,0.83975303
innodb-thread-concurrency=#,shared_buffers,0.8396914
innodb-adaptive-hash-index-parts[=#],temp_tablespaces,0.8394344
max-binlog-cache-size=#,synchronous_commit,0.83940125
innodb-thread-concurrency=#,fsync,0.83932394
read-rnd-buffer-size=#,backend_flush_after,0.8392766
read-rnd-buffer-size=#,bgwriter_flush_after,0.8392766
read-rnd-buffer-size=#,checkpoint_flush_after,0.8392766
join-buffer-size=#,max_slot_wal_keep_size,0.8392035
bulk-insert-buffer-size=#,log_min_duration_sample,0.839072
innodb-sort-buffer-size=#,dynamic_shared_memory_type,0.8390629
innodb-sort-buffer-size=#,dynamic_shared_memory_type,0.8390629
innodb-old-blocks-time=#,transaction_deferrable,0.8389485
max-connections=#,max_connections,0.83879584
join-buffer-size=#,event_source,0.83877337
innodb-adaptive-hash-index-parts[=#],wal_keep_size,0.8387636
innodb-sort-buffer-size=#,wal_buffers,0.8387495
innodb-sort-buffer-size=#,wal_buffers,0.8387495
innodb-online-alter-log-max-size=#,default_text_search_config,0.8386759
innodb-write-io-threads=#,effective_io_concurrency,0.8386159
innodb-log-buffer-size=#,log_truncate_on_rotation,0.8386083
tmp-table-size=#,jit_dump_bitcode,0.8385873
key-buffer-size=#,wal_segment_size,0.8385149
innodb-adaptive-hash-index,autovacuum_multixact_freeze_max_age,0.83846605
innodb-io-capacity=#,wal_sync_method,0.8383957
innodb-log-buffer-size=#,block_size,0.83838737
innodb-read-io-threads=#,log_parser_stats,0.83825004
innodb-thread-concurrency=#,vacuum_cost_page_miss,0.8381773
innodb-log-buffer-size=#,log_timezone,0.8381742
binlog-cache-size=#,hot_standby_feedback,0.8381164
binlog-cache-size=#,syslog_sequence_numbers,0.8381069
innodb-file-per-table,jit_profiling_support,0.83807313
innodb-log-buffer-size=#,port,0.83804727
bulk-insert-buffer-size=#,log_parameter_max_length,0.8380435
innodb-io-capacity=#,max_standby_archive_delay,0.8380327
myisam-sort-buffer-size=#,autovacuum_freeze_max_age,0.8379257
innodb-thread-concurrency=#,recovery_target_lsn,0.83786166
mysqlx-max-connections[=#],log_min_duration_sample,0.8378126
innodb-log-file-size=#,wal_keep_size,0.8376993
innodb-io-capacity=#,restore_command,0.8376293
sort-buffer-size=#,temp_buffers,0.83761
innodb-buffer-pool-size=#,vacuum_cost_page_hit,0.8375002
join-buffer-size=#,max_parallel_workers,0.83735955
innodb-buffer-pool-size=#,primary_slot_name,0.8373568
innodb-adaptive-hash-index,ssl_prefer_server_ciphers,0.83727396
innodb-file-per-table,syslog_split_messages,0.8372077
tmp-table-size=#,recovery_init_sync_method,0.8372022
innodb-adaptive-hash-index-parts[=#],shared_buffers,0.8371885
innodb-log-buffer-size=#,commit_delay,0.83714026
max-binlog-cache-size=#,idle_in_transaction_session_timeout,0.83714
binlog-cache-size=#,hash_mem_multiplier,0.8371388
key-buffer-size=#,min_parallel_table_scan_size,0.8369063
key-buffer-size=#,temp_file_limit,0.8369051
innodb-thread-concurrency=#,wal_buffers,0.8367927
mysqlx-max-connections[=#],max_connections,0.83672947
innodb-log-buffer-size=#,max_standby_archive_delay,0.8367147
innodb-old-blocks-time=#,backend_flush_after,0.8367049
innodb-old-blocks-time=#,bgwriter_flush_after,0.8367049
innodb-old-blocks-time=#,checkpoint_flush_after,0.8367049
innodb-log-file-size=#,archive_mode,0.83663
binlog-cache-size=#,log_executor_stats,0.8365882
innodb-old-blocks-time=#,temp_buffers,0.8365269
innodb-old-blocks-time=#,commit_delay,0.8364811
replica-max-allowed-packet=#,event_source,0.8364139
join-buffer-size=#,idle_in_transaction_session_timeout,0.83637655
innodb-thread-concurrency=#,jit_optimize_above_cost,0.8362535
bulk-insert-buffer-size=#,syslog_sequence_numbers,0.8362506
innodb-log-file-size=#,temp_file_limit,0.83621144
innodb-log-buffer-size=#,log_planner_stats,0.83615935
read-buffer-size=#,debug_print_rewritten,0.8360518
innodb-file-per-table,syslog_facility,0.83603525
max-allowed-packet=#,port,0.83597887
bulk-insert-buffer-size=#,vacuum_cost_page_miss,0.83586985
replica-max-allowed-packet=#,listen_addresses,0.83577687
tmp-table-size=#,vacuum_cost_page_miss,0.8357605
innodb-buffer-pool-size=#,commit_delay,0.8356833
innodb-online-alter-log-max-size=#,archive_mode,0.83548737
mysqlx-max-connections[=#],superuser_reserved_connections,0.8354702
read-buffer-size=#,transaction_deferrable,0.8354419
innodb-io-capacity=#,wal_skip_threshold,0.8352395
sort-buffer-size=#,autovacuum_work_mem,0.8352212
key-buffer-size=#,data_checksums,0.83517903
innodb-io-capacity=#,log_parser_stats,0.835143
innodb-online-alter-log-max-size=#,default_table_access_method,0.83505595
read-rnd-buffer-size=#,recovery_target_lsn,0.83504164
max-binlog-cache-size=#,log_min_duration_sample,0.83491313
read-buffer-size=#,max_parallel_workers,0.83485794
innodb-file-per-table,update_process_title,0.8348361
binlog-cache-size=#,jit_profiling_support,0.83469844
read-buffer-size=#,min_parallel_table_scan_size,0.83468443
sort-buffer-size=#,logging_collector,0.8345773
innodb-log-buffer-size=#,syslog_split_messages,0.83448404
innodb-log-buffer-size=#,unix_socket_permissions,0.8344683
key-buffer-size=#,log_min_duration_sample,0.8344201
myisam-sort-buffer-size=#,wal_skip_threshold,0.83439755
innodb-adaptive-hash-index-parts[=#],allow_in_place_tablespaces,0.83435464
tmp-table-size=#,logical_decoding_work_mem,0.8342952
key-buffer-size=#,temp_buffers,0.8342713
innodb-purge-threads[=#],log_parameter_max_length_on_error,0.8342582
key-buffer-size=#,track_activity_query_size,0.8341555
max-binlog-cache-size=#,primary_slot_name,0.834147
read-buffer-size=#,effective_io_concurrency,0.83414245
innodb-read-io-threads=#,shared_buffers,0.83406687
innodb-buffer-pool-size=#,vacuum_cost_page_miss,0.8340286
innodb-file-per-table,hot_standby_feedback,0.8339132
table-open-cache=#,max_pred_locks_per_transaction,0.8338922
key-buffer-size=#,log_parameter_max_length_on_error,0.8337861
key-buffer-size=#,jit_optimize_above_cost,0.8337263
mysqlx-max-connections[=#],max_pred_locks_per_transaction,0.8336619
key-buffer-size=#,geqo_effort,0.8336338
innodb-adaptive-hash-index-parts[=#],log_parameter_max_length,0.83361316
key-buffer-size=#,vacuum_cost_page_hit,0.8335881
join-buffer-size=#,temp_tablespaces,0.8335372
innodb-adaptive-hash-index-parts[=#],syslog_sequence_numbers,0.8335146
innodb-thread-concurrency=#,log_min_duration_statement,0.8334434
key-cache-age-threshold=#,archive_timeout,0.8334047
key-buffer-size=#,vacuum_cost_page_miss,0.83336496
innodb-log-buffer-size=#,max_standby_streaming_delay,0.8332619
sort-buffer-size=#,logical_decoding_work_mem,0.8331654
innodb-write-io-threads=#,shared_buffers,0.8331291
bulk-insert-buffer-size=#,vacuum_cost_page_hit,0.83312285
innodb-adaptive-hash-index-parts[=#],ssl_passphrase_command_supports_reload,0.8330626
max-allowed-packet=#,max_standby_archive_delay,0.8330368
innodb-sort-buffer-size=#,logical_decoding_work_mem,0.8330351
innodb-sort-buffer-size=#,logical_decoding_work_mem,0.8330351
innodb-log-file-size=#,default_table_access_method,0.83303094
innodb-read-io-threads=#,effective_io_concurrency,0.8329942
binlog-cache-size=#,allow_in_place_tablespaces,0.8329544
key-buffer-size=#,recovery_target_lsn,0.83294344
key-buffer-size=#,effective_io_concurrency,0.83276606
innodb-old-blocks-time=#,archive_cleanup_command,0.83251965
table-open-cache=#,log_min_duration_sample,0.83248055
key-buffer-size=#,log_autovacuum_min_duration,0.83247924
innodb-write-io-threads=#,ssl_passphrase_command_supports_reload,0.83245456
tmp-table-size=#,syslog_sequence_numbers,0.83242613
replica-max-allowed-packet=#,transaction_isolation,0.83242023
binlog-cache-size=#,log_autovacuum_min_duration,0.8323626
innodb-thread-concurrency=#,full_page_writes,0.8323183
join-buffer-size=#,data_checksums,0.83230126
tmp-table-size=#,autovacuum_work_mem,0.8322871
table-open-cache=#,temp_tablespaces,0.8322772
innodb-thread-concurrency=#,event_source,0.83225167
innodb-thread-concurrency=#,backend_flush_after,0.8322474
innodb-thread-concurrency=#,bgwriter_flush_after,0.8322474
innodb-thread-concurrency=#,checkpoint_flush_after,0.8322474
innodb-buffer-pool-size=#,effective_cache_size,0.8321159
table-open-cache=#,max_wal_senders,0.8320263
replica-max-allowed-packet=#,max_files_per_process,0.83196473
binlog-cache-size=#,recovery_target_lsn,0.83191276
innodb-adaptive-hash-index-parts[=#],autovacuum_multixact_freeze_max_age,0.8319045
innodb-file-per-table,debug_print_rewritten,0.8318731
binlog-cache-size=#,shared_buffers,0.83186126
max-binlog-cache-size=#,max_parallel_workers,0.83179593
innodb-thread-concurrency=#,ignore_system_indexes,0.8317876
tmp-table-size=#,unix_socket_permissions,0.8316182
innodb-sort-buffer-size=#,vacuum_cost_page_miss,0.8315532
innodb-sort-buffer-size=#,vacuum_cost_page_miss,0.8315532
innodb-io-capacity=#,shared_buffers,0.83152497
join-buffer-size=#,max_pred_locks_per_transaction,0.8315136
tmp-table-size=#,default_transaction_read_only,0.83150053
innodb-thread-concurrency=#,log_parser_stats,0.8314094
innodb-io-capacity=#,wal_receiver_timeout,0.8313557
tmp-table-size=#,max_standby_streaming_delay,0.8312696
innodb-io-capacity=#,ssl_passphrase_command_supports_reload,0.8312557
innodb-thread-concurrency=#,unix_socket_permissions,0.8312554
read-buffer-size=#,max_replication_slots,0.83113396
innodb-adaptive-hash-index-parts[=#],max_wal_senders,0.8310199
key-buffer-size=#,min_parallel_index_scan_size,0.83096457
read-buffer-size=#,logging_collector,0.8307456
max-allowed-packet=#,shared_buffers,0.8306974
innodb-log-buffer-size=#,superuser_reserved_connections,0.8306831
innodb-thread-concurrency=#,debug_discard_caches,0.83060336
innodb-io-capacity-max=#,log_autovacuum_min_duration,0.83055174
innodb-log-buffer-size=#,syslog_ident,0.83055115
innodb-thread-concurrency=#,log_hostname,0.83042383
bulk-insert-buffer-size=#,wal_buffers,0.83039224
innodb-log-file-size=#,wal_init_zero,0.83039033
tmp-table-size=#,syslog_ident,0.8303385
read-buffer-size=#,backend_flush_after,0.8302923
read-buffer-size=#,bgwriter_flush_after,0.8302923
read-buffer-size=#,checkpoint_flush_after,0.8302923
max-binlog-cache-size=#,temp_file_limit,0.8302125
innodb-adaptive-hash-index,syslog_sequence_numbers,0.8301705
innodb-max-dirty-pages-pct=#,wal_keep_size,0.83006036
innodb-log-buffer-size=#,log_temp_files,0.83005977
key-buffer-size=#,maintenance_work_mem,0.8300313
innodb-io-capacity=#,archive_command,0.8300042
innodb-thread-concurrency=#,max_pred_locks_per_transaction,0.82999533
innodb-thread-concurrency=#,jit_inline_above_cost,0.82995284
innodb-buffer-pool-size=#,superuser_reserved_connections,0.82990813
bulk-insert-buffer-size=#,logical_decoding_work_mem,0.8298678
innodb-log-buffer-size=#,recovery_end_command,0.8298331
table-open-cache=#,wal_segment_size,0.82979167
innodb-adaptive-hash-index-parts[=#],commit_siblings,0.82977843
bulk-insert-buffer-size=#,enable_partition_pruning,0.8297744
key-buffer-size=#,default_table_access_method,0.8295689
innodb-old-blocks-time=#,log_min_error_statement,0.8295
tmp-table-size=#,dynamic_shared_memory_type,0.829498
sort-buffer-size=#,temp_file_limit,0.82948065
binlog-cache-size=#,autovacuum_analyze_threshold,0.8294714
innodb-old-blocks-time=#,wal_buffers,0.82945323
innodb-buffer-pool-size=#,max_slot_wal_keep_size,0.82942426
mysqlx-max-connections[=#],track_activity_query_size,0.82940185
max-binlog-cache-size=#,log_transaction_sample_rate,0.8292622
